file_style_id,file,origin_tool,ifc_schema,style_code,handing,shape,operation_guess,panel_config_guess,classification_confidence,classification_basis,classification_evidence,golden_target_verdict,bakedness_class,parametric_integrity_score,geometry,has_lining_props,has_panel_props,source_style_name,window_count,source,source_url,provenance_note,license_note
F001,wall-with-opening-and-window.ifc,Test Application,IFC4,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='window for test example window' part=SINGLE_PANEL panel_ops=-,needs_style_review,SEMI_PARAMETRIC,70,parametric_swept,False,False,Window for Test Example,1,downloaded,https://github.com/buildingSMART/Sample-Test-Files,Test Application; open test fixture,open fixture; verify per-file author/license
F002,IfcOpenHouse_IFC4.ifc,IfcOpenShell,IFC4,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='' part=None panel_ops=-,specimen_only,STUB_NO_GEOMETRY,10,none_or_unknown,False,False,unnamed,5,downloaded,https://github.com/ThatOpen/engine_web-ifc,IfcOpenShell; open test fixture,open fixture; verify per-file author/license
F003,ISSUE_171_IfcSurfaceCurveSweptAreaSolid.ifc,n/a,IFC4,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='living outside window cellcomp' part=SINGLE_PANEL panel_ops=-,specimen_only,BAKED_WITH_METADATA,35,explicit_baked,False,False,CellComplex/sash_big,11,downloaded,https://github.com/ThatOpen/engine_web-ifc,n/a; open test fixture,open fixture; verify per-file author/license
F004,ISSUE_171_IfcSurfaceCurveSweptAreaSolid.ifc,n/a,IFC4,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='living outside window cellcomp' part=SINGLE_PANEL panel_ops=-,specimen_only,BAKED_WITH_METADATA,35,explicit_baked,False,False,CellComplex/sash_shortest,5,downloaded,https://github.com/ThatOpen/engine_web-ifc,n/a; open test fixture,open fixture; verify per-file author/license
F005,tested_sample_project.ifc,Autodesk Revit 2021 (ESP),IFC2X3,UNCLASSIFIED,-,RECT,UNKNOWN,SINGLE,low,none,name='ventana simple:100 x 100 cm:16' part=NOTDEFINED panel_ops=-,specimen_only,BAKED_WITH_METADATA,37,explicit_baked,True,False,Ventana simple:100 x 100 cm,9,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit 2021 (ESP); open test fixture,open fixture; verify per-file author/license
F006,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:4835mm x 2420mm:4835mm' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,4835mm x 2420mm,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F007,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:750mm x 2200mm:750mm x' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,750mm x 2200mm,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F008,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:2800mm x 2410mm:2800mm' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,2800mm x 2410mm,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F009,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:819mm x 759mm:819mm x ' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,819mm x 759mm,8,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F010,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-CASEMENT-SINGLE,-,RECT,CASEMENT,SINGLE,medium,family_name,name='m_casement:819mm x 759mm:819mm' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,819mm x 759mm,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F011,duplex.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-SKYLIGHT-SINGLE,-,RECT,SKYLIGHT,SINGLE,medium,family_name,name='m_skylight:1180 x 1170mm:1180 ' part=NOTDEFINED panel_ops=-,specimen_only,BAKED_WITH_METADATA,37,explicit_baked,True,False,1180 x 1170mm,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F012,ISSUE_005_haus.ifc,ARCHICAD-64,IFC4,WIN-CASEMENT-DBL_V,-,RECT,CASEMENT,DBL_V,high,panel_operation_enum,"name='eg-fenster-6 ifc fenster - zwe' part=NOTDEFINED panel_ops=['SIDEHUNGRIGHTHAND', 'SIDEHUNGLEFTHAND']",candidate,SEMI_PARAMETRIC,55,explicit_baked,True,True,IFC Fenster - zwei Panele - Vertikal,5,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F013,ISSUE_005_haus.ifc,ARCHICAD-64,IFC4,WIN-CASEMENT-DBL_V,-,RECT,CASEMENT,DBL_V,high,panel_operation_enum,"name='eg-fenster-7 ifc fenster - zwe' part=NOTDEFINED panel_ops=['SIDEHUNGLEFTHAND', 'SIDEHUNGRIGHTHAND']",candidate,SEMI_PARAMETRIC,55,explicit_baked,True,True,IFC Fenster - zwei Panele - Vertikal,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F014,ISSUE_005_haus.ifc,ARCHICAD-64,IFC4,WIN-FIXED-SINGLE,-,ROUND,FIXED,SINGLE,low,shape_name,name='og-fenster-2 rundfenster 13' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,50,explicit_baked,True,True,Rundfenster 13,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F015,AC20-FZK-Haus.ifc,ARCHICAD-64,IFC4,WIN-CASEMENT-DBL_V,-,RECT,CASEMENT,DBL_V,high,panel_operation_enum,"name='eg-fenster-6 ifc fenster - zwe' part=NOTDEFINED panel_ops=['SIDEHUNGRIGHTHAND', 'SIDEHUNGLEFTHAND']",candidate,SEMI_PARAMETRIC,55,explicit_baked,True,True,IFC Fenster - zwei Panele - Vertikal,5,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F016,AC20-FZK-Haus.ifc,ARCHICAD-64,IFC4,WIN-CASEMENT-DBL_V,-,RECT,CASEMENT,DBL_V,high,panel_operation_enum,"name='eg-fenster-7 ifc fenster - zwe' part=NOTDEFINED panel_ops=['SIDEHUNGLEFTHAND', 'SIDEHUNGRIGHTHAND']",candidate,SEMI_PARAMETRIC,55,explicit_baked,True,True,IFC Fenster - zwei Panele - Vertikal,4,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F017,AC20-FZK-Haus.ifc,ARCHICAD-64,IFC4,WIN-FIXED-SINGLE,-,ROUND,FIXED,SINGLE,low,shape_name,name='og-fenster-2 rundfenster 13' part=NOTDEFINED panel_ops=-,needs_style_review,SEMI_PARAMETRIC,50,explicit_baked,True,True,Rundfenster 13,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,ARCHICAD-64; open test fixture,open fixture; verify per-file author/license
F018,Office_A_20110811.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:1220 x 1500:1220 x 150' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,1220 x 1500,65,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
F019,Office_A_20110811.ifc,Autodesk Revit Architecture 2011,IFC2X3,WIN-FIXED-SINGLE,-,RECT,FIXED,SINGLE,medium,family_name,name='m_fixed:1000 x 1000:1000 x 100' part=NOTDEFINED panel_ops=-,candidate_review,SEMI_PARAMETRIC,72,parametric_swept,True,False,1000 x 1000,2,downloaded,https://github.com/ThatOpen/engine_web-ifc,Autodesk Revit Architecture 2011; open test fixture,open fixture; verify per-file author/license
